Source,Experiment,Dog,Trial,Type,Button,Time,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,5.152,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,5.403,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,11.888,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,13.637,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,17.643,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,18.387,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,19.117,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,19.233,60,60,,Head Tilting,,Right,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,19.89,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,30.167,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,32.033,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,35.905,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,44.153,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,45.142,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial4,CSC,Dex,4,Speak,Daxing,57.905,60,60,,Lip/Nose Licking,,,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,8.948,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,10.135,60,60,,Toy-Directed Behaviors,,Moving Towards Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,10.889,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,13.267,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,15.389,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,18.138,60,60,,Toy-Directed Behaviors,,Looking at Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,18.888,60,60,,Toy-Directed Behaviors,,Touching Toy,POINT
CSC_Dex_Trial5,CSC,Dex,5,Press,Outside,26.889,60,60,,Toy-Directed Behaviors,,Picking up Toy,POINT
